"state","allotment","pct","fy","program","base_total","hypothetical","account","total_earmarks","state_abbr","actual_total","difference","diff_as_pct","bar_color"
"Oklahoma",7177000,0.0145,"FY23","DWSRF",1103040899,15994093.0355,"STAG— Drinking Water State Revolving Fund",32203281,"OK",39380281,23386187.9645,1.46217656184647,"Positive"
"Oregon",7428000,0.015,"FY23","DWSRF",1103040899,16545613.485,"STAG— Drinking Water State Revolving Fund",20522000,"OR",27950000,11404386.515,0.689269486763911,"Positive"
"Pennsylvania",16290000,0.033,"FY23","DWSRF",1103040899,36400349.667,"STAG— Drinking Water State Revolving Fund",5040400,"PA",21330400,-15069949.667,-0.414005629200375,"Negative"
"Puerto Rico",4938000,0.01,"FY23","DWSRF",1103040899,11030408.99,NA,0,NA,4938000,-6092408.99,-0.552328476262601,"Negative"
"Rhode Island",4938000,0.01,"FY23","DWSRF",1103040899,11030408.99,"STAG— Drinking Water State Revolving Fund",5e+06,"RI",9938000,-1092408.99,-0.0990361273992978,"Negative"
"South Carolina",6172000,0.0125,"FY23","DWSRF",1103040899,13788011.2375,"STAG— Drinking Water State Revolving Fund",9900000,"SC",16072000,2283988.7625,0.165650340948962,"Positive"
"South Dakota",4937000,0.01,"FY23","DWSRF",1103040899,11030408.99,NA,0,"SD",4937000,-6093408.99,-0.552419134732374,"Negative"
"Tennessee",8312000,0.0168,"FY23","DWSRF",1103040899,18531087.1032,"STAG— Drinking Water State Revolving Fund",5800000,"TN",14112000,-4419087.1032,-0.23846885390965,"Negative"
"Texas",39369000,0.0797,"FY23","DWSRF",1103040899,87912359.6503,"STAG— Drinking Water State Revolving Fund",4500000,"TX",43869000,-44043359.6503,-0.500991667445815,"Negative"
"Utah",4938000,0.01,"FY23","DWSRF",1103040899,11030408.99,"STAG— Drinking Water State Revolving Fund",11876640,"UT",16814640,5784231.01,0.524389532178172,"Positive"
"Vermont",4938000,0.01,"FY23","DWSRF",1103040899,11030408.99,"STAG— Drinking Water State Revolving Fund",3685000,"VT",8623000,-2407408.99,-0.218252015150347,"Negative"
"Virginia",6973000,0.0141,"FY23","DWSRF",1103040899,15552876.6759,"STAG— Drinking Water State Revolving Fund",6452972,"VA",13425972,-2126904.6759,-0.136753137070504,"Negative"
"Washington",11307000,0.0229,"FY23","DWSRF",1103040899,25259636.5871,"STAG— Drinking Water State Revolving Fund",15167972,"WA",26474972,1215335.4129,0.0481137330978336,"Positive"
"West Virginia",4938000,0.01,"FY23","DWSRF",1103040899,11030408.99,"STAG— Drinking Water State Revolving Fund",29609438,"WV",34547438,23517029.01,2.13201786364587,"Positive"
"Wisconsin",8455000,0.0171,"FY23","DWSRF",1103040899,18861999.3729,"STAG— Drinking Water State Revolving Fund",14452972,"WI",22907972,4045972.6271,0.214503910593543,"Positive"
"Wyoming",4938000,0.01,"FY23","DWSRF",1103040899,11030408.99,NA,0,"WY",4938000,-6092408.99,-0.552328476262601,"Negative"
"Alabama",8473000,0.011181980027371,"FY23","CWSRF",1620845642,18124263.5962953,"STAG—Clean Water State Revolving Fund",7e+06,"AL",15473000,-2651263.59629529,-0.1462825555482,"Negative"
"Alaska",4535000,0.00598492616831434,"FY23","CWSRF",1620845642,9700641.49760405,"STAG—Clean Water State Revolving Fund",55520000,"AK",60055000,50354358.502396,5.19082769060509,"Positive"
"Arizona",5118000,0.00675432241001825,"FY23","CWSRF",1620845642,10947714.042941,"STAG—Clean Water State Revolving Fund",12602350,"AZ",17720350,6772635.95705898,0.618634715018512,"Positive"
"Arkansas",4957000,0.00654184763314976,"FY23","CWSRF",1620845642,10603325.2268188,"STAG—Clean Water State Revolving Fund",4660000,"AR",9617000,-986325.226818804,-0.0930203691502463,"Negative"
